Account,Date,Sentiment,Daily_PnL,Trades_Today
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,Fear,0.0,42
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,Fear,-5018.466447,97
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,Fear,716.143949,155
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,Fear,0.0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,Fear,0.0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,Fear,-95.985744,88
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,Fear,-133.41237,125
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,Fear,951.934443,689
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,Fear,371.503,411
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,Fear,-1892.58947,603
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,Fear,3434.689308,97
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,Greed,2654.14315,568
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,Greed,1867.252909,680
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,Greed,1969.39321,330
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,Greed,-4648.8710550000005,338
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,Greed,0.0,67
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,Greed,5179.772745,83
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,Neutral,1243.853569,250
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,Neutral,-1.0,5
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,Extreme Greed,1584.342755,1
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,Extreme Greed,208.81746,4
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,Extreme Fear,16706.884912,797
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,Fear,13264.043303999999,339
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,Fear,5942.547242,313
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,Fear,8277.307357,863
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,Fear,2638.012587,353
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,Neutral,-19037.340561,594
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,Greed,-108176.9187,469
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,Greed,8157.112326,70
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,Greed,0.0,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,Extreme Greed,159.100072,93
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,Extreme Greed,161.289904,95
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,Extreme Greed,147.410285,162
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,Extreme Greed,233.36546,213
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,Extreme Greed,-316.245208,407
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,Extreme Greed,780.001314,446
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,Extreme Greed,141.21958999999998,433
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,Extreme Greed,673.6312,156
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,Extreme Greed,108.321127,69
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,Extreme Greed,464.281002,225
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,Extreme Greed,-508.290641,217
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,Extreme Greed,193.66415899999998,169
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,Extreme Greed,165.532644,207
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,Extreme Greed,9551.73423,206
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,Extreme Greed,5590.528248,154
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,Extreme Greed,4458.25495,193
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,Extreme Greed,1283.846047,140
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,Extreme Greed,1190.358719,78
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,Extreme Greed,9066.169646,112
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,Extreme Greed,14685.787664,98
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,Greed,389.176232,69
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,Extreme Greed,4008.012049,86
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,Extreme Greed,554.009942,102
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,Extreme Greed,768.430838,213
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,Extreme Greed,980.557461,157
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,Greed,1582.001112,93
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,Extreme Greed,5806.86932,147
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,Extreme Greed,1522.284412,155
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,Extreme Greed,13281.73126,154
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,Extreme Greed,5389.96219,137
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,Extreme Greed,13190.248859,230
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,Extreme Greed,4454.939378,181
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,Extreme Greed,3624.489655,191
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,Extreme Greed,1525.329937,204
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,Greed,7812.716373,194
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,Greed,7465.899936,107
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,Greed,1174.025529,79
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,Greed,122.889996,95
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,Greed,1555.956456,48
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,Greed,1530.919365,66
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,Extreme Greed,101.860928,84
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,Greed,388.366016,73
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,Greed,506.512551,63
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,Greed,115.51218300000001,34
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,Greed,255.808312,125
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,Greed,496.221792,107
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,Greed,109.82694000000001,59
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,Greed,416.546688,101
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,Greed,250.581483,69
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,Greed,232.66549799999999,81
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,Greed,87.752181,82
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,Extreme Greed,114.68421000000001,80
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,Extreme Greed,267.846227,103
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,Greed,651.469355,149
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,Greed,571.688942,103
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,Neutral,401.706348,84
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,Greed,157.228232,37
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,Greed,274.773033,63
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,Greed,53.846609,61
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,Greed,894.564828,42
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,Greed,55.137803,19
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,Extreme Greed,238.995461,87
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,Extreme Greed,168.92152,70
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,Extreme Greed,594.135892,259
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,Extreme Greed,102.504343,184
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,Extreme Greed,608.885905,169
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,Extreme Greed,428.3738,94
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,Extreme Greed,589.467131,112
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-23,Extreme Greed,229.609892,122
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-24,Extreme Greed,347.22838,120
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-25,Extreme Greed,124.70498799999999,118
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-26,Greed,273.211119,106
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-27,Greed,838.930696,268
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-28,Greed,1019.55769,151
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-29,Greed,152.618804,42
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-30,Greed,1234.2072,86
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-31,Extreme Greed,755.916254,49
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,Greed,3.536668000000001,51
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,Greed,-1416.906536,91
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,Fear,439.634046,75
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,Greed,1291.500575,48
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-05,Neutral,696.8107239999999,83
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-06,Neutral,358.877096,45
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-07,Fear,932.4458159999999,54
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-08,Fear,0.0,32
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-09,Neutral,31.14195,17
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-10,Fear,436.833818,43
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-11,Neutral,593.326371,41
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-12,Neutral,198.780392,59
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-13,Neutral,287.27875,42
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-14,Neutral,404.813032,47
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-15,Neutral,64.653448,9
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-16,Neutral,59.664989,11
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-17,Neutral,115.824682,28
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-18,Neutral,45.659497,36
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,20.62415,22
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-20,Neutral,278.142839,53
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-21,Greed,591.659533,93
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-22,Neutral,408.03639799999996,58
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-23,Neutral,39.91436,24
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-24,Neutral,180.244855,61
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-25,Fear,168.27053,49
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-26,Extreme Fear,64.59776,34
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-27,Extreme Fear,71.919819,30
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-28,Extreme Fear,-3425.450348,81
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,Extreme Fear,557.9358,37
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,Fear,8330.21747,73
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,Fear,494.669357,58
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,Extreme Fear,163.73415,43
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-05,Extreme Fear,437.35445200000004,26
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-06,Fear,291.46926,21
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-07,Fear,411.824274,40
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-08,Fear,173.811132,35
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-09,Fear,140.953497,36
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-10,Extreme Fear,-4026.754395,31
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-11,Extreme Fear,0.0,24
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-12,Fear,33.01095,9
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-13,Neutral,465.046501,22
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-14,Fear,0.0,4
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-16,Fear,106.912886,27
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-17,Fear,0.0,2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-18,Fear,40.9165,15
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-19,Fear,54.9718,33
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-20,Neutral,144.656157,20
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-21,Fear,0.5844,12
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-22,Fear,132.087931,17
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-23,Fear,79.086899,14
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-24,Neutral,808.135252,45
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-25,Neutral,417.38885700000003,33
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-26,Neutral,379.04079,35
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-27,Fear,-133.035992,38
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-28,Fear,-21.766132,41
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-29,Fear,28.499012000000004,15
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-30,Fear,-743.288757,44
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-31,Fear,3.5652170000000005,52
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,Fear,768.351892,41
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,Fear,669.381363,70
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,Fear,149.51234499999998,85
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,Fear,498.73528200000004,100
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-05,Fear,177.049662,56
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-06,Fear,-476.77056300000004,74
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-07,Extreme Fear,-19833.530157,150
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-08,Extreme Fear,230.103259,65
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-09,Extreme Fear,94.077376,53
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-10,Fear,73.76740699999999,22
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-11,Fear,67.00618399999999,14
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-12,Fear,10.499265,3
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-13,Neutral,-902.0714839999999,19
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-14,Fear,27.177561,14
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-15,Fear,-48.794434,17
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-16,Fear,8.738942,9
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-17,Fear,-15.688322,10
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-18,Fear,22.793679,8
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-19,Fear,40.803149000000005,7
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-20,Fear,7.707293999999999,2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-21,Fear,19.956089,6
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-22,Neutral,11.839106000000001,5
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-23,Greed,50.899228,13
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-24,Greed,1.023851,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-27,Greed,0.265698,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-28,Neutral,-0.08516699999999999,8
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,Neutral,16.923621,2
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-31,Extreme Greed,-2.5534149999999998,9
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-01,Extreme Greed,-0.09906000000000104,14
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-06,Greed,-3.41119,3
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-08,Extreme Greed,-710.786946,15
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-13,Extreme Greed,-17.60528,10
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-14,Extreme Greed,2215.402997,69
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-15,Extreme Greed,2137.203852,33
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-16,Extreme Greed,1484.528402,22
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-18,Extreme Greed,-8.138354999999999,15
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-20,Extreme Greed,2626.800865,76
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-21,Extreme Greed,-0.15074600000000027,22
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-22,Extreme Greed,-260.909686,57
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-29,Extreme Greed,31.04129,10
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-30,Extreme Greed,59.744873999999996,6
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-02,Extreme Greed,16196.864846,53
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-03,Extreme Greed,121.535562,59
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-04,Extreme Greed,7591.307059,37
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-05,Extreme Greed,2069.92634,33
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-06,Greed,-123.870122,9
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-10,Extreme Greed,130.883691,12
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-11,Greed,8544.6855,19
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,Extreme Greed,7639.595794,62
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-13,Extreme Greed,1966.9289449999999,63
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-17,Extreme Greed,214.770101,15
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-20,Greed,305.55784,11
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-23,Greed,6.476289999999996,29
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-24,Greed,343.63336100000004,11
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-30,Greed,0.19908,2
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-31,Greed,2243.319777,49
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-10,Neutral,21980.47249,136
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-11,Greed,-2.454844,7
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-15,Greed,-18.998214,12
